Wall time,Step,Value
1739018023.7316315,0,1.992567539215088
1739018118.7352524,1,1.8426612615585327
1739018213.6541123,2,1.7897703647613525
1739018308.5520122,3,1.74355149269104
1739018403.1443405,4,1.692213535308838
1739018498.595516,5,1.658562183380127
1739018594.607337,6,1.6245702505111694
1739018690.3585072,7,1.596152663230896
1739018786.4378436,8,1.571089506149292
1739018882.6620696,9,1.5428529977798462
1739018978.6710405,10,1.512956142425537
1739019074.298223,11,1.4887040853500366
1739019170.8231623,12,1.450652003288269
1739019267.2037718,13,1.430104374885559
1739019451.0699193,0,1.9879400730133057
1739019548.26023,1,1.8600236177444458
1739019644.2843075,2,1.7869720458984375
1739019739.9560635,3,1.7299282550811768
1739019837.0728304,4,1.6783167123794556
1739019940.7753646,5,1.662512183189392
1739020036.683103,6,1.632042646408081
1739020133.2659369,7,1.6077394485473633
1739020229.2588558,8,1.5869535207748413
1739020324.3212752,9,1.5556652545928955
1739020420.2348933,10,1.520304799079895
1739020517.2695284,11,1.4979063272476196
1739020614.3952117,12,1.4674220085144043
1739020710.7839735,13,1.4385486841201782
1739020807.8480575,14,1.4171932935714722
1739020904.5413783,15,1.397861361503601
1739021001.4500856,16,1.3762195110321045
1739021098.669224,17,1.3482571840286255
1739021221.044732,18,1.3319780826568604
1739021327.2597837,19,1.3080779314041138
1739021424.856101,20,1.2885502576828003
1739021522.451451,21,1.259962797164917
1739021620.2887785,22,1.2394490242004395
1739021722.9370546,23,1.2138032913208008
1739021821.9993083,24,1.1962296962738037
1739021919.119124,25,1.1801799535751343
1739022015.843016,26,1.1515439748764038
1739022112.118588,27,1.1352906227111816
1739022207.9725564,28,1.1126453876495361
1739022303.7234457,29,1.111312747001648
1739022399.569669,30,1.0788518190383911
1739022494.8316562,31,1.0601752996444702
1739022590.454109,32,1.0486552715301514
1739022686.0396292,33,1.0217578411102295
1739022781.6814506,34,1.0035513639450073
1739022876.661173,35,0.9947774410247803
1739022970.3223507,36,0.9861042499542236
1739023081.245239,37,0.9618343710899353
1739023217.945536,38,0.9475637078285217
1739023353.5220718,39,0.9395155906677246
1739023490.1276371,40,0.9350816011428833
1739023623.7130783,41,0.9114452004432678
1739023758.5980024,42,0.8986741304397583
1739023893.297238,43,0.8878916501998901
1739024026.9472566,44,0.8853484988212585
1739024159.7047825,45,0.8724737763404846
1739024293.8611467,46,0.847388505935669
1739024428.8352134,47,0.8444815874099731
1739024564.5542924,48,0.8311043381690979
1739024702.564808,49,0.8400883078575134
1739024799.5797648,50,0.8106736540794373
1739024893.9275954,51,0.8069471716880798
1739024988.5635643,52,0.7898104190826416
1739025083.3338344,53,0.7807719707489014
1739025178.0212533,54,0.7874180674552917
1739025272.5976412,55,0.7701699733734131
1739025367.3991885,56,0.7556579113006592
1739025461.9632027,57,0.7366534471511841
1739025555.9658122,58,0.7344317436218262
1739025650.31311,59,0.7342320680618286
1739025744.7949784,60,0.7297424077987671
1739025839.5818815,61,0.7086161375045776
1739025933.6962764,62,0.7009977698326111
1739026028.3532095,63,0.6864445209503174
1739026122.8866727,64,0.6848217248916626
1739026217.2050939,65,0.6720892786979675
1739026311.4528615,66,0.6635067462921143
1739026406.4065413,67,0.6558221578598022
1739026501.9921012,68,0.647878885269165
1739026596.3327227,69,0.654574453830719
1739026690.9496076,70,0.6357407569885254
1739026785.5321565,71,0.6252374649047852
1739026880.0830083,72,0.6175466775894165
1739026974.129178,73,0.6038177013397217
1739027068.5119183,74,0.6027429103851318
1739027162.8056486,75,0.5989609360694885
1739027256.8983421,76,0.5874084830284119
1739027351.4381797,77,0.5732455253601074
1739027445.758965,78,0.5674155950546265
1739027540.2794175,79,0.5624735951423645
1739027634.0796227,80,0.5580503940582275
1739027728.3583221,81,0.5478128790855408
1739027822.6271343,82,0.5339956283569336
1739027916.973476,83,0.5298038125038147
1739028011.061474,84,0.5230796337127686
1739028105.1737795,85,0.5200982689857483
1739028199.3943064,86,0.5063295960426331
1739028293.2503219,87,0.49748191237449646
1739028387.626273,88,0.49285152554512024
1739028481.7972226,89,0.4771822392940521
1739028575.7081733,90,0.4836749732494354
1739028669.794371,91,0.4660133123397827
1739028764.0765526,92,0.4603741466999054
1739028858.9752123,93,0.44669240713119507
1739028952.7855868,94,0.44300857186317444
1739029047.013181,95,0.4373413026332855
1739029141.2711494,96,0.4281117022037506
1739029235.4148085,97,0.4213789701461792
1739029329.0641584,98,0.41168272495269775
1739029423.0567038,99,0.4048824608325958
1739029517.0248134,100,0.39090079069137573
1739029610.5830255,101,0.3951454162597656
1739029704.415591,102,0.38076916337013245
1739029798.3405132,103,0.36687299609184265
1739029892.169587,104,0.3639492988586426
1739029985.6968873,105,0.3512686491012573
1739030079.8410282,106,0.3460589647293091
1739030173.887024,107,0.3400518596172333
1739030267.796126,108,0.3316827714443207
1739030361.6307425,109,0.32440879940986633
1739030455.5685263,110,0.30682969093322754
1739030549.559315,111,0.3016138970851898
1739030643.278878,112,0.29224640130996704
1739030737.2662563,113,0.28902629017829895
1739030831.5908267,114,0.2782938778400421
1739030926.9462106,115,0.2710139751434326
1739031021.2233286,116,0.26440566778182983
1739031115.682299,117,0.26004737615585327
1739031210.311471,118,0.25367867946624756
1739031304.394613,119,0.2382081001996994
1739031398.9470942,120,0.23331065475940704
1739031493.4025936,121,0.22757399082183838
1739031587.9177868,122,0.2153463065624237
1739031687.6690803,123,0.21430163085460663
1739031783.9367888,124,0.20158901810646057
1739031877.3607433,125,0.20154674351215363
1739031970.1174595,126,0.19005736708641052
1739032063.2541838,127,0.1869932860136032
1739032156.4045398,128,0.17643019556999207
1739032249.6735423,129,0.16941361129283905
1739032341.0742292,130,0.1661572903394699
1739032434.3154278,131,0.1567249745130539
1739032527.5701873,132,0.15090706944465637
1739032621.2945197,133,0.14703866839408875
1739032714.5514264,134,0.14137285947799683
1739032807.8645563,135,0.13541950285434723
1739032901.248702,136,0.13041044771671295
1739032994.2993143,137,0.12422842532396317
1739033087.8581445,138,0.12260574102401733
1739033181.929621,139,0.11483807861804962
1739033275.7586677,140,0.11471526324748993
1739033368.4594553,141,0.10508522391319275
1739033462.5323062,142,0.10457145422697067
1739033556.4095094,143,0.09792257100343704
1739033649.3857646,144,0.09251200407743454
1739033743.1820354,145,0.08982840180397034
1739033837.4965572,146,0.08922035992145538
1739033931.092937,147,0.07985365390777588
1739034023.7422352,148,0.07929704338312149
1739034116.9169939,149,0.07728403061628342
1739034210.3724144,150,0.0728047713637352
1739034304.0792413,151,0.06898725777864456
1739034397.681449,152,0.06661749631166458
1739034491.5317414,153,0.058935847133398056
1739034585.5656416,154,0.061969317495822906
